value,var,ver,pft,param,time
0.27133772,RDI,No recruitement,deciduous temperate broadleaved,high RDI,8
0.45253018,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,8
12.045217,BA,No recruitement,evergreen temperate conifer,Low RDI,8
12.046383,BA,No recruitement,evergreen temperate conifer,high RDI,8
12.046383,BA,Recruitement,evergreen temperate conifer,Low RDI,8
3.6379907,BA,No recruitement,deciduous temperate broadleaved,Low RDI,8
4.38383,BA,No recruitement,deciduous temperate broadleaved,high RDI,8
5.7997622,BA,Recruitement,deciduous temperate broadleaved,Low RDI,8
0.03203721,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,8
0.032081295,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,8
0.032081295,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,8
0.06277121,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,8
0.05764617,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,8
0.036528334,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,8
1.493974,IND,No recruitement,evergreen temperate conifer,Low RDI,8
1.4900146,IND,No recruitement,evergreen temperate conifer,high RDI,8
1.4900146,IND,Recruitement,evergreen temperate conifer,Low RDI,8
0.11724337,IND,No recruitement,deciduous temperate broadleaved,Low RDI,8
0.16779579,IND,No recruitement,deciduous temperate broadleaved,high RDI,8
0.55292976,IND,Recruitement,deciduous temperate broadleaved,Low RDI,8
0.39329,RDI,No recruitement,evergreen temperate conifer,Low RDI,9
0.39312533,RDI,No recruitement,evergreen temperate conifer,high RDI,9
0.39312533,RDI,Recruitement,evergreen temperate conifer,Low RDI,9
0.24881358,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,9
0.29744503,RDI,No recruitement,deciduous temperate broadleaved,high RDI,9
0.4902774,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,9
12.826037,BA,No recruitement,evergreen temperate conifer,Low RDI,9
12.825287,BA,No recruitement,evergreen temperate conifer,high RDI,9
12.825287,BA,Recruitement,evergreen temperate conifer,Low RDI,9
4.4050508,BA,No recruitement,deciduous temperate broadleaved,Low RDI,9
4.9666553,BA,No recruitement,deciduous temperate broadleaved,high RDI,9
6.4641786,BA,Recruitement,deciduous temperate broadleaved,Low RDI,9
0.03306786,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,9
0.033116415,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,9
0.033116415,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,9
0.069032304,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,9
0.06140484,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,9
0.038595,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,9
1.4931355,IND,No recruitement,evergreen temperate conifer,Low RDI,9
1.4886738,IND,No recruitement,evergreen temperate conifer,high RDI,9
1.4886738,IND,Recruitement,evergreen temperate conifer,Low RDI,9
0.11757116,IND,No recruitement,deciduous temperate broadleaved,Low RDI,9
0.16742921,IND,No recruitement,deciduous temperate broadleaved,high RDI,9
0.5519418,IND,Recruitement,deciduous temperate broadleaved,Low RDI,9
0.41786015,RDI,No recruitement,evergreen temperate conifer,Low RDI,10
0.4176424,RDI,No recruitement,evergreen temperate conifer,high RDI,10
0.4176424,RDI,Recruitement,evergreen temperate conifer,Low RDI,10
0.20782094,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,10
0.19683896,RDI,No recruitement,deciduous temperate broadleaved,high RDI,10
0.3946266,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,10
13.744589,BA,No recruitement,evergreen temperate conifer,Low RDI,10
13.742837,BA,No recruitement,evergreen temperate conifer,high RDI,10
13.742837,BA,Recruitement,evergreen temperate conifer,Low RDI,10
3.870866,BA,No recruitement,deciduous temperate broadleaved,Low RDI,10
3.4965851,BA,No recruitement,deciduous temperate broadleaved,high RDI,10
5.437022,BA,Recruitement,deciduous temperate broadleaved,Low RDI,10
0.03424075,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,10
0.03429563,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,10
0.03429563,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,10
0.07669569,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,10
0.06936468,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,10
0.042105336,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,10
1.4922942,IND,No recruitement,evergreen temperate conifer,Low RDI,10
1.4873314,IND,No recruitement,evergreen temperate conifer,high RDI,10
1.4873314,IND,Recruitement,evergreen temperate conifer,Low RDI,10
0.08513387,IND,No recruitement,deciduous temperate broadleaved,Low RDI,10
0.09229767,IND,No recruitement,deciduous temperate broadleaved,high RDI,10
0.389988,IND,Recruitement,deciduous temperate broadleaved,Low RDI,10
0.442859,RDI,No recruitement,evergreen temperate conifer,Low RDI,11
0.44263798,RDI,No recruitement,evergreen temperate conifer,high RDI,11
0.44263798,RDI,Recruitement,evergreen temperate conifer,Low RDI,11
0.21688862,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,11
0.23376632,RDI,No recruitement,deciduous temperate broadleaved,high RDI,11
0.44391134,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,11
14.686867,BA,No recruitement,evergreen temperate conifer,Low RDI,11
14.686037,BA,No recruitement,evergreen temperate conifer,high RDI,11
14.686037,BA,Recruitement,evergreen temperate conifer,Low RDI,11
4.286644,BA,No recruitement,deciduous temperate broadleaved,Low RDI,11
4.4022355,BA,No recruitement,deciduous temperate broadleaved,high RDI,11
6.366532,BA,Recruitement,deciduous temperate broadleaved,Low RDI,11
0.035406046,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,11
0.03546985,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,11
0.03546985,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,11
0.08570262,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,11
0.07789898,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,11
0.045593545,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,11
1.4914328,IND,No recruitement,evergreen temperate conifer,Low RDI,11
1.4859865,IND,No recruitement,evergreen temperate conifer,high RDI,11
1.4859865,IND,Recruitement,evergreen temperate conifer,Low RDI,11
0.07419494,IND,No recruitement,deciduous temperate broadleaved,Low RDI,11
0.09220923,IND,No recruitement,deciduous temperate broadleaved,high RDI,11
0.38961306,IND,Recruitement,deciduous temperate broadleaved,Low RDI,11
0.4667909,RDI,No recruitement,evergreen temperate conifer,Low RDI,12
0.4665497,RDI,No recruitement,evergreen temperate conifer,high RDI,12
0.4665497,RDI,Recruitement,evergreen temperate conifer,Low RDI,12
