value,var,ver,pft,param,time
10.560227,BA,No recruitement,evergreen temperate conifer,Low RDI,9
10.558781,BA,No recruitement,evergreen temperate conifer,high RDI,9
10.55878,BA,Recruitement,evergreen temperate conifer,Low RDI,9
6.924383,BA,No recruitement,deciduous temperate broadleaved,Low RDI,9
6.63764,BA,No recruitement,deciduous temperate broadleaved,high RDI,9
7.880859,BA,Recruitement,deciduous temperate broadleaved,Low RDI,9
0.029989189,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,9
0.030048892,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,9
0.03004889,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,9
0.035111085,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,9
0.034460425,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,9
0.028795382,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,9
1.4946868,IND,No recruitement,evergreen temperate conifer,Low RDI,9
1.4885484,IND,No recruitement,evergreen temperate conifer,high RDI,9
1.4885484,IND,Recruitement,evergreen temperate conifer,Low RDI,9
0.71502155,IND,No recruitement,deciduous temperate broadleaved,Low RDI,9
0.71144575,IND,No recruitement,deciduous temperate broadleaved,high RDI,9
1.209836,IND,Recruitement,deciduous temperate broadleaved,Low RDI,9
0.35323545,RDI,No recruitement,evergreen temperate conifer,Low RDI,10
0.35298672,RDI,No recruitement,evergreen temperate conifer,high RDI,10
0.3529867,RDI,Recruitement,evergreen temperate conifer,Low RDI,10
0.5884663,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,10
0.57002145,RDI,No recruitement,deciduous temperate broadleaved,high RDI,10
0.7350116,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,10
11.346947,BA,No recruitement,evergreen temperate conifer,Low RDI,10
11.345155,BA,No recruitement,evergreen temperate conifer,high RDI,10
11.345155,BA,Recruitement,evergreen temperate conifer,Low RDI,10
7.5550284,BA,No recruitement,deciduous temperate broadleaved,Low RDI,10
7.253135,BA,No recruitement,deciduous temperate broadleaved,high RDI,10
8.522266,BA,Recruitement,deciduous temperate broadleaved,Low RDI,10
0.031093027,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,10
0.031162253,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,10
0.031162253,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,10
0.036678903,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,10
0.03604058,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,10
0.029959701,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,10
1.4940369,IND,No recruitement,evergreen temperate conifer,Low RDI,10
1.4871708,IND,No recruitement,evergreen temperate conifer,high RDI,10
1.4871708,IND,Recruitement,evergreen temperate conifer,Low RDI,10
0.7147717,IND,No recruitement,deciduous temperate broadleaved,Low RDI,10
0.71076,IND,No recruitement,deciduous temperate broadleaved,high RDI,10
1.207609,IND,Recruitement,deciduous temperate broadleaved,Low RDI,10
0.37426755,RDI,No recruitement,evergreen temperate conifer,Low RDI,11
0.37397647,RDI,No recruitement,evergreen temperate conifer,high RDI,11
0.3739765,RDI,Recruitement,evergreen temperate conifer,Low RDI,11
0.6209326,RDI,No recruitement,deciduous temperate broadleaved,Low RDI,11
0.6067234,RDI,No recruitement,deciduous temperate broadleaved,high RDI,11
0.562146,RDI,Recruitement,deciduous temperate broadleaved,Low RDI,11
12.120958,BA,No recruitement,evergreen temperate conifer,Low RDI,11
12.118827,BA,No recruitement,evergreen temperate conifer,high RDI,11
12.118828,BA,Recruitement,evergreen temperate conifer,Low RDI,11
8.119019,BA,No recruitement,deciduous temperate broadleaved,Low RDI,11
7.888141,BA,No recruitement,deciduous temperate broadleaved,high RDI,11
6.7596383,BA,Recruitement,deciduous temperate broadleaved,Low RDI,11
0.032144092,DIAMETER,No recruitement,evergreen temperate conifer,Low RDI,11
0.032222953,DIAMETER,No recruitement,evergreen temperate conifer,high RDI,11
0.032222953,DIAMETER,Recruitement,evergreen temperate conifer,Low RDI,11
0.038033605,DIAMETER,No recruitement,deciduous temperate broadleaved,Low RDI,11
0.03760391,DIAMETER,No recruitement,deciduous temperate broadleaved,high RDI,11
0.032212593,DIAMETER,Recruitement,deciduous temperate broadleaved,Low RDI,11
1.4933478,IND,No recruitement,evergreen temperate conifer,Low RDI,11
1.485785,IND,No recruitement,evergreen temperate conifer,high RDI,11
1.485785,IND,Recruitement,evergreen temperate conifer,Low RDI,11
0.7145107,IND,No recruitement,deciduous temperate broadleaved,Low RDI,11
0.71007377,IND,No recruitement,deciduous temperate broadleaved,high RDI,11
0.8286255,IND,Recruitement,deciduous temperate broadleaved,Low RDI,11
